,State,Code,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
76,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Alaska,AK,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0
79,Alaska,AK,0,0,0,0,0,0,1,1,1,0,3,3,1,0,1,1,2,1,4,0
80,Alaska,AK,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0
81,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
82,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Alaska,AK,0,0,0,0,0,1,0,4,1,1,3,1,1,4,3,1,3,1,1,0
85,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Alaska,AK,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0
91,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Alaska,AK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Alaska,AK,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
97,Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
98,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,2
100,Arizona,AZ,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,1,3,2,0
101,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0
102,Arizona,AZ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,Arizona,AZ,1,2,3,1,10,7,6,0,8,3,0,7,3,16,10,2,5,14,1,1
106,Arizona,AZ,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,0
107,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0
108,Arizona,AZ,0,0,1,1,2,3,2,0,0,4,0,4,3,7,1,7,3,3,1,7
109,Arizona,AZ,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0
110,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
111,Arizona,AZ,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,2,1,1,0
112,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
113,Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Arkansas,AR,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Arkansas,AR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Arkansas,AR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Arkansas,AR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Arkansas,AR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Arkansas,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
